udise,school_name,block,cluster,grade,student_pseudo_id,subject,pct_correct
21150400101,"Govt. High School, Bagdia",Chhendipada,MACHHAKUTA UPS,Grade 8,22,Odia,65.0
21150523101,"Govt.UPS,Gengutia",Kaniha,SUSUBA,Grade 8,11,English,85.0
21150725904,Govt PS Patamura,Palalahada,"LNGHS, Sankhamur",Grade 5,3,Odia,66.7
21150316201,"PANCHAYAT HS, TULASIPAL",Banarpal,TULASIPAL CLUSTER,Grade 8,7,Science,95.0
21150608201,GOVT PS HANDAPA,Kishore Nagar,Handapa PS,Grade 5,26,Maths,73.3
21150624401,Govt PS Jhinkibahal,Kishore Nagar,Govt UPS Jairat,Grade 5,3,Odia,86.7
21150217701,Govt. UPS Tainsar,Athamalik,GOVT. NUPS MADHAPUR,Grade 5,10,Maths,73.3
21150217602,Govt. PS Siarinali,Athamalik,GOVT. NUPS MADHAPUR,Grade 5,4,Odia,60.0
21150516601,Govt.PS Kansamunda,Kaniha,Govt PS kaniha,Grade 5,5,Odia,93.3
21150519801,GOVT.UPS PABITRANAGAR,Kaniha,Govt UPS Pabitranagar,Grade 5,7,English,66.7
21150713401,GOVT UPS BALIPASI,Palalahada,Barkotia ups,Grade 8,18,Science,65.0
21150301701,JUHARPUR PS,Banarpal,TULASIPAL CLUSTER,Grade 5,1,EVS,73.3
21150415201,"Govt. Upper Primary School, Paranga",Chhendipada,Govt UPS PARANGA,Grade 8,19,English,75.0
21150311001,KUIO-JAMUNALI UPS,Banarpal,Sakosingha UPS,Grade 8,10,English,65.0
21150602201,"Govt. Upper Primary School, Turuda",Kishore Nagar,Govt ups Angapada Turuda,Grade 5,10,Maths,86.7
21150615501,GOVT UPS AMBAMUNDA,Kishore Nagar,Handapa PS,Grade 8,9,Odia,50.0
21150112402,Baghamunda Ashram School,Anugola,Tainsi Cluster,Grade 8,5,English,35.0
21150510301,GOVT. PS POIPAL,Kaniha,GOVT PS POIPAL,Grade 5,2,Odia,93.3
21150523851,SADANANDA HS TALAPADA,Kaniha,GOVT PS POIPAL,Grade 8,40,Maths,80.0
21150606852,"SWAPNESWAR JEW UCHA BIDYAPITHA,Badahulla",Kishore Nagar,KISHOREGANJ,Grade 8,16,English,40.0
21150902301,GOVT. TOWN UPS,Anugola,Collegepada,Grade 8,3,Maths,20.0
21150118701,PURUNAKOTE NODAL HS,Anugola,Purunakote PS,Grade 8,5,Science,75.0
21150308601,GOVT UPS RANIGODA,Banarpal,GOVT UPS TURANG,Grade 5,12,EVS,80.0
21150410801,KUKURPETA UCHA BIDYAPITHA,Chhendipada,Kukurpeta,Grade 8,28,Science,60.0
21150508901,GOVT UPS JHULAKHUNTIA,Kaniha,Saradhapur,Grade 8,11,SST,65.0
21150410303,"Govt. High School, Kosala",Chhendipada,KOSALA PS,Grade 8,51,Science,45.0
21150109502,Inkarbandha U. P. S,Anugola,BEDASASAN,Grade 8,13,Odia,75.0
21150402002,"Govt. High School, Barapada",Chhendipada,korada ups,Grade 5,2,Maths,73.3
21150118701,PURUNAKOTE NODAL HS,Anugola,Purunakote PS,Grade 8,6,Maths,65.0
21151001201,PM SHRI MAHENDRA HS ATHMALLIK,Athamalik,MAHENDRA HIGH SCHOOL ATHAMALLIK,Grade 8,27,Odia,30.0
21150706002,Dimiria UPS,Palalahada,Town Girls' UPS,Grade 5,15,EVS,80.0
21150809201,PANCHHYAT NODAL HS,Talachera,"PNHS,PADIABHANGA",Grade 8,48,SST,35.0
21150412801,"Govt. Upper Primary School, Kalapatasahi",Chhendipada,Govt UPS PARANGA,Grade 5,17,Maths,73.3
21150400105,"Govt. Upper Primary School, Bazarpada",Chhendipada,MACHHAKUTA UPS,Grade 5,23,English,80.0
21150509101,GOVT UPS MAHIDHARPUR,Kaniha,Saradhapur,Grade 8,4,Science,95.0
21150414501,"Govt. High School, OGI",Chhendipada,OGI UGHS,Grade 5,10,Maths,20.0
21150309103,GOVT UPS KURUDOL,Banarpal,GOVT UPS TURANG,Grade 8,33,English,75.0
21150419001,"Govt. Upper Primary School, Suranga Mundasahi",Chhendipada,OGI UGHS,Grade 8,5,Odia,55.0
21150602701,DANGAPAL SS,Kishore Nagar,YJHS BAMUR,Grade 8,13,Maths,70.0
21150307201,"Govt.u.p.s,Karadagadia",Banarpal,Kumanda Jarasingha Cluster,Grade 5,4,EVS,53.3
21150513903,PANCHAYAT H.S JARADA,Kaniha,GOVT UPS JARADA,Grade 8,2,Odia,50.0
21150400103,"Govt. Primary School, Bagdia",Chhendipada,MACHHAKUTA UPS,Grade 5,40,English,86.7
21150600101,"AMBAPAL NODAL HIGH SCHOOL,AMBAPAL",Kishore Nagar,Ambapal High school,Grade 8,60,Maths,85.0
21150714001,GOVT UPS RENGALMUNDA,Palalahada,Barkotia ups,Grade 5,3,Odia,80.0
21150118501,CHHOTKEI AS,Anugola,Purunakote PS,Grade 8,2,Maths,80.0
21150408403,"Govt. Upper Primary School, Kankarai",Chhendipada,Kankarei UPS,Grade 8,22,SST,25.0
21150411101,"Govt. Primary School, Nuamauza",Chhendipada,Kukurpeta,Grade 5,4,English,93.3
21150213001,TILESWAR PUPS,Athamalik,"SASTRIJEE UPS, KRUTIBASPUR",Grade 5,3,Odia,73.3
21150709101,Govt. UPS Tampar,Palalahada,HK Mahatab ups Iswaranagar,Grade 5,11,English,66.7
21150805301,Biharipur PUPS,Talachera,Biharipur PUPS,Grade 5,6,EVS,0.0
21150406801,"Govt. Upper Primary School, Laxmidharpur",Chhendipada,Jereng Dehuri Sahi UGHS,Grade 5,9,EVS,66.7
21150414603,"Govt. Upper Primary School, Para",Chhendipada,OGI UGHS,Grade 5,6,Maths,53.3
21150300902,BALARAMPRASAD H S,Banarpal,BALARAMPMRASAD HS,Grade 8,3,Science,75.0
21150509601,KANAKESWARI GOVT HS SARADHAPUR,Kaniha,Saradhapur,Grade 8,5,Odia,55.0
21150227201,GOVT.UPS GHODABANDHUNI,Athamalik,GHODABANDHUNI UPS,Grade 8,2,Science,50.0
21150814401,TALABEDA UPS,Talachera,TALABEDA UPS,Grade 8,7,Maths,55.0
21150417301,Raijharan HS,Chhendipada,Kankarei UPS,Grade 8,17,SST,40.0
21150400601,"Govt. Primary School, Dahibar",Chhendipada,GOVT UPS BRAHMANBIL,Grade 5,4,English,46.7
21150301301,PINGUA NODAL UPS,Banarpal,BALARAMPMRASAD HS,Grade 8,10,Science,45.0
21150415201,"Govt. Upper Primary School, Paranga",Chhendipada,Govt UPS PARANGA,Grade 5,34,Odia,73.3
21150806406,Ghantapada NHS,Talachera,Ghantapada NHS,Grade 8,12,Maths,65.0
21150806404,Chatiahatting PPS,Talachera,Gobara NHS,Grade 5,4,EVS,46.7
21150708401,"H.K.Mahatab Govt.UPS,Iswarnagar",Palalahada,HK Mahatab ups Iswaranagar,Grade 5,3,Odia,46.7
21150119103,PANCHAYAT HIGH SCHOOL RANTALEI,Anugola,BADAKERA UPS,Grade 8,54,SST,85.0
21150402802,"Govt. Upper Primary School, Khamar",Chhendipada,KHAMAR NUPS,Grade 8,29,Science,30.0
21150410303,"Govt. High School, Kosala",Chhendipada,KOSALA PS,Grade 8,61,SST,50.0
21150815304,Krushaksahi PS,Talachera,Biharipur PUPS,Grade 5,4,EVS,80.0
21151100503,P C MODEL UPS,Talachera,Baghuabol Nups,Grade 8,42,Odia,55.0
21150604403,"JAGANNATH GOVT HIGH SCHOOL, BILEINALI",Kishore Nagar,JGHS BILEINALI,Grade 8,49,English,50.0
21150108901,JAMUNDA CHASASAHI PS,Anugola,GADATARAS,Grade 5,17,EVS,60.0
21150701003,"PHS, BADASADA",Palalahada,Bahadapasi,Grade 8,16,SST,30.0
21150405104,"Govt. High School, Chhendipada",Chhendipada,Chhendipada HS,Grade 5,10,Maths,93.3
21150518601,GOVT PPHS BARUAN,Kaniha,GOVT PS SAMAL,Grade 8,19,English,60.0
21150800252,BHARATPUR HS,Talachera,BADAJORADA NUPS,Grade 8,12,English,70.0
21150601001,"GOVT. UPS, KHAIRAMUNDA",Kishore Nagar,Ambapal High school,Grade 5,10,EVS,66.7
21150227901,"PANCHAYAT RAJ NODAL HIGH SCHOOL,SANAHULA",Athamalik,GHODABANDHUNI UPS,Grade 8,43,Maths,60.0
21150712001,"Govt. Nodal UPS, Khamar",Palalahada,Govt UPS JENAPADA,Grade 8,10,SST,80.0
21150403401,"Govt. Primary School, Balinali",Chhendipada,Kukurpeta,Grade 5,3,English,46.7
21150309703,Salagaon PUPS,Banarpal,MAHIDHARPUR HS,Grade 8,7,English,30.0
21150207601,Govt P.S Mohankhali,Athamalik,KANDHAPADA NUPS,Grade 5,1,EVS,66.7
21150606851,"Govt. Upper Primary School, Badahula",Kishore Nagar,KISHOREGANJ,Grade 5,15,English,53.3
21150120201,GOVT U.G.H.S SANKHAPUR,Anugola,BANTALA,Grade 8,12,SST,70.0
21150901901,UTTARPADA NUPS,Anugola,Amalapada ps,Grade 5,29,Odia,73.3
21150516502,"PM SHRI PABITRA MOHAN GOVT. HIGHER SECONDARY SCHOOL, KANIHA",Kaniha,Govt PS kaniha,Grade 8,50,English,45.0
21150213001,TILESWAR PUPS,Athamalik,"SASTRIJEE UPS, KRUTIBASPUR",Grade 5,5,Odia,53.3
21150518601,GOVT PPHS BARUAN,Kaniha,GOVT PS SAMAL,Grade 8,7,Odia,65.0
21150808601,Chainpal PS,Talachera,"PNHS,PADIABHANGA",Grade 5,10,Odia,26.7
21150414601,Para HS,Chhendipada,OGI UGHS,Grade 8,34,Maths,20.0
21150716551,SIBIDA PVTG GIRLS HS,Palalahada,Govt. UPS SIBIDA,Grade 8,38,Odia,40.0
21150307601,HH GOVT. HS KUKUDANG,Banarpal,HARIHAR GOVT. HS KUKUDANG,Grade 8,43,SST,20.0
21150122501,KALAPAT HS,Anugola,GADATARAS,Grade 5,25,Odia,60.0
21150232603,GOVT UPS THAKURGARH,Athamalik,THAKURGARH PS,Grade 8,97,SST,80.0
21150214601,GOVT.PS BALIPATA,Athamalik,PEDI PATHAR,Grade 5,3,English,60.0
21150315303,Fakir Charan UPS,Banarpal,Fakir Charan UP School Tubey Cluster,Grade 8,1,Odia,85.0
21150400103,"Govt. Primary School, Bagdia",Chhendipada,MACHHAKUTA UPS,Grade 5,27,English,80.0
21150308201,GIRANG UPS,Banarpal,KANDASAR,Grade 5,14,Maths,66.7
21150102502,CHAMPATIMUNDA PROJECT UPS,Anugola,BADAKERA UPS,Grade 8,21,Odia,25.0
21150307301,"Govt u.p.s, Kusasingha",Banarpal,Kumanda Jarasingha Cluster,Grade 5,14,EVS,80.0
21150606852,"SWAPNESWAR JEW UCHA BIDYAPITHA,Badahulla",Kishore Nagar,KISHOREGANJ,Grade 8,15,English,40.0
21150305901,"Govt.p.s,Akurabhal",Banarpal,Kumanda Jarasingha Cluster,Grade 5,4,English,73.3
21150402802,"Govt. Upper Primary School, Khamar",Chhendipada,KHAMAR NUPS,Grade 8,9,Odia,55.0
21150613401,"ASHRAM SCHOOL,KUSUNI",Kishore Nagar,Kadalimunda ups,Grade 8,4,Maths,55.0
21150232602,GOVT PS THAKURGARH,Athamalik,THAKURGARH PS,Grade 5,10,English,80.0
21150703002,PHAPAND NODAL UPS,Palalahada,GOVT.UGHS SEEGARH,Grade 8,9,Maths,85.0
21150708401,"H.K.Mahatab Govt.UPS,Iswarnagar",Palalahada,HK Mahatab ups Iswaranagar,Grade 8,5,Maths,75.0
21150514501,GOVT HS KAKUDIA,Kaniha,DERANG,Grade 5,2,Odia,80.0
21150303703,GOVT UPS BUDHAPANK,Banarpal,GOTAMARA,Grade 5,1,Odia,73.3
21150116101,M.M PATNA PUPS,Anugola,Purunagarh,Grade 5,4,EVS,46.7
21150521401,PM SHREE GOVT HS SAMALBARRAGE,Kaniha,GOVT PS SAMAL,Grade 5,21,Odia,80.0
21150411201,"Govt. Primary School, Phuljhari",Chhendipada,Kukurpeta,Grade 5,7,Odia,80.0
21150619001,Govt UPS Balijereng,Kishore Nagar,Govt UPS Jairat,Grade 5,11,English,86.7
21150620102,Govt UPS Oskapali,Kishore Nagar,Govt UPS Jairat,Grade 5,7,Maths,80.0
21150504301,GOVT AS KALIADAMA,Kaniha,GOVT UPS BALIPASI,Grade 8,19,Science,70.0
21150414501,"Govt. High School, OGI",Chhendipada,OGI UGHS,Grade 5,31,Maths,20.0
21150709901,GOVT UPS RAIPAL,Palalahada,GOVT UPS JHARBEDA,Grade 8,8,SST,25.0
21150406102,"Patitapaban Govt. High School, Jarapada",Chhendipada,DURGAPUR NUPS,Grade 8,70,Science,55.0
21150504301,GOVT AS KALIADAMA,Kaniha,GOVT UPS BALIPASI,Grade 8,40,Maths,80.0
21150505905,Govt.ups Patanasahi,Kaniha,GADASILA UPS Kaniha,Grade 8,7,Maths,45.0
21150308501,ALEKHAPATANA UPS,Banarpal,Sakosingha UPS,Grade 5,8,Maths,60.0
21150511202,"Govt.UPS,Suleipal",Kaniha,SUSUBA,Grade 5,16,English,46.7
21150712001,"Govt. Nodal UPS, Khamar",Palalahada,Govt UPS JENAPADA,Grade 8,28,SST,80.0
21150111901,KHINDA UPS,Anugola,GADATARAS,Grade 8,12,Odia,50.0
21150617703,MAHESWARI GOVT HS NAKCHI,Kishore Nagar,MHS NAKCHI,Grade 8,29,SST,80.0
21150118701,PURUNAKOTE NODAL HS,Anugola,Purunakote PS,Grade 8,7,Science,75.0
21150901301,SHILPANCHAL PS,Anugola,Amalapada ps,Grade 5,16,Maths,53.3
21150409801,"Govt. Upper Primary School, Bahiali Kosala",Chhendipada,KOSALA PS,Grade 5,30,EVS,93.3
21150721301,GOVT UPS PECHAMUNDI,Palalahada,Saida,Grade 5,4,Maths,33.3
21150400105,"Govt. Upper Primary School, Bazarpada",Chhendipada,MACHHAKUTA UPS,Grade 8,13,Maths,65.0
21150521401,PM SHREE GOVT HS SAMALBARRAGE,Kaniha,GOVT PS SAMAL,Grade 5,4,Maths,93.3
21150223903,RADHAMADHAB GOVT. HS,Athamalik,RADHAMADHAB GOVT. HIGH SCHOOL PAIKSAHI,Grade 8,64,English,90.0
21150224601,GOVT.PS BADADADAR,Athamalik,PEDI PATHAR,Grade 5,9,Odia,40.0
21150401203,"Govt. High School, Balipata",Chhendipada,Balipatta,Grade 8,62,SST,55.0
21151100503,P C MODEL UPS,Talachera,Baghuabol Nups,Grade 8,49,SST,30.0
21150523503,GOVT. PS DURGAPUR NUASAHI,Kaniha,GOVT PS POIPAL,Grade 5,6,Maths,66.7
21150817701,Joragadia Project UPS,Talachera,Kalapat pups,Grade 5,24,Maths,60.0
21150315306,Tubey PUPS,Banarpal,Fakir Charan UP School Tubey Cluster,Grade 5,32,Maths,73.3
21150201602,Ambasarmunda Ss,Athamalik,Ambasarmunda,Grade 5,7,Odia,93.3
21150504801,GOVT PS NAKITIDEUL,Kaniha,GOVT UPS BALIPASI,Grade 5,4,Maths,73.3
21150117602,NANDAPUR UPS,Anugola,Purunagarh,Grade 8,48,Odia,70.0
21150410303,"Govt. High School, Kosala",Chhendipada,KOSALA PS,Grade 8,85,Science,55.0
21150605301,"Govt. Primary School,Katada",Kishore Nagar,Govt ups Angapada Turuda,Grade 5,4,Odia,53.3
21150211003,Govt. UPS Kiakata,Athamalik,Kiakata PS,Grade 8,20,Odia,80.0
21150511903,PANCHAYAT HIGH SCHOOL HANUMANPUR,Kaniha,GOVT UPS HANUMANPUR,Grade 8,3,Science,75.0
21150725901,"LNGHS, SANKHAMUR",Palalahada,"LNGHS, Sankhamur",Grade 8,54,SST,70.0
21150410303,"Govt. High School, Kosala",Chhendipada,KOSALA PS,Grade 8,44,Maths,85.0
21150506402,Govt ups Gadasila,Kaniha,GADASILA UPS Kaniha,Grade 5,4,EVS,53.3
21150116001,GOVT UPS PURUNAGARH,Anugola,Purunagarh,Grade 8,52,SST,85.0
21150901701,PTC NODAL HIGH SCHOOL,Anugola,Amalapada ps,Grade 8,9,Odia,70.0
21150419001,"Govt. Upper Primary School, Suranga Mundasahi",Chhendipada,OGI UGHS,Grade 5,4,English,80.0
21150316201,"PANCHAYAT HS, TULASIPAL",Banarpal,TULASIPAL CLUSTER,Grade 8,20,Odia,55.0
21150716551,SIBIDA PVTG GIRLS HS,Palalahada,Govt. UPS SIBIDA,Grade 5,8,Odia,93.3
21150726601,NAIKANIPALI A.S,Palalahada,GOVT.UGHS SEEGARH,Grade 8,5,Science,80.0
21150602403,YUVAJYOTI HS,Kishore Nagar,YJHS BAMUR,Grade 8,34,Maths,90.0
21150217701,Govt. UPS Tainsar,Athamalik,GOVT. NUPS MADHAPUR,Grade 8,4,Science,75.0
21150417405,"Govt. High School, Sapoinali",Chhendipada,Basantapur NUPS,Grade 8,15,Maths,70.0
21150722201,RAJDANG HIGH SCHOOL,Palalahada,Govt ups kunjam,Grade 8,1,Science,30.0
21150723602,GOVT PECHAMUNDI NODAL UPS DALO,Palalahada,KANTALA,Grade 5,5,English,73.3
21150200501,GOVT.UPS BAHALI,Athamalik,KUTESWAR UPS,Grade 8,20,Odia,55.0
21150315306,Tubey PUPS,Banarpal,Fakir Charan UP School Tubey Cluster,Grade 5,11,Odia,33.3
21150712751,GOVT AGHS ODASH,Palalahada,Govt UPS JENAPADA,Grade 8,11,Odia,70.0
21150412801,"Govt. Upper Primary School, Kalapatasahi",Chhendipada,Govt UPS PARANGA,Grade 5,12,Odia,73.3
21150211501,Govt. UPS Naikpada,Athamalik,Kiakata PS,Grade 8,18,Odia,70.0
21150103201,GOVT. UGHS BALANGA,Anugola,Jagannathpur,Grade 8,16,Odia,45.0
21150623101,Govt UPS Ghanpur,Kishore Nagar,PABITRAMOHAN GOVT UPS URUKULA,Grade 5,4,EVS,33.3
21150113901,PNHS KUMURISINGHA,Anugola,PNHS Kumurisingha,Grade 8,80,Science,60.0
21150618701,"Govt. Upper Primary School, Gobindapur",Kishore Nagar,KISHOREGANJ,Grade 5,2,English,86.7
21150224001,GOVT.UPS TALABAHALI,Athamalik,GHODABANDHUNI UPS,Grade 8,3,SST,85.0
21150308601,GOVT UPS RANIGODA,Banarpal,GOVT UPS TURANG,Grade 8,6,SST,45.0
21150900802,Hulurisingha UPS,Anugola,Collegepada,Grade 5,24,EVS,26.7
21150500102,GOVT UPS ARKIL,Kaniha,GOVT UPS ARKIL,Grade 5,7,Odia,73.3
21150700901,GOVT.UGHS VETIA,Palalahada,Govt.UPS Munduribeda,Grade 8,9,Odia,85.0
21150408002,"Govt. Upper Primary School, Kanaloi",Chhendipada,Kanaloi ups,Grade 8,14,Science,100.0
21150419002,TUKUDA HIGH SCHOOL,Chhendipada,OGI UGHS,Grade 8,14,Odia,45.0
21150234802,Govt. UPS TUSAR,Athamalik,GOVT UPS BAJAPUR,Grade 5,20,Odia,33.3
21150315306,Tubey PUPS,Banarpal,Fakir Charan UP School Tubey Cluster,Grade 8,12,Maths,85.0
21150306101,"BENAGADIA HIGH SCHOOL,BENAGADIA",Banarpal,GOVT UPS GANDIBEDHA,Grade 8,2,English,55.0
21150207302,Govt U.P.S Kampala,Athamalik,KANDHAPADA NUPS,Grade 5,11,EVS,46.7
21150623501,"Govt. Upper Primary School,Khamar",Kishore Nagar,Govt ups Angapada Turuda,Grade 5,3,English,53.3
21150815305,Pravakar NUPS,Talachera,Biharipur PUPS,Grade 5,7,Odia,73.3
21150303702,BUDHAPANK HIGH SCHOOL,Banarpal,GOTAMARA,Grade 8,33,Science,25.0
21150900802,Hulurisingha UPS,Anugola,Collegepada,Grade 8,37,Maths,80.0
21150723101,"Govt. ups, rangiapal",Palalahada,Chungamatia,Grade 8,17,Science,80.0
21150111205,KANGULA NUPS,Anugola,KHAMAR PS CLUSTER,Grade 5,1,Odia,93.3
21150309903,BIRABHANUPUR PPS,Banarpal,NUAHATA CLUSTER,Grade 5,9,English,73.3
21150711801,GOVT UPS JENAPADA,Palalahada,Govt UPS JENAPADA,Grade 5,7,Odia,80.0
21150402502,"Govt. Primary School, Rangamatia",Chhendipada,KHAMAR NUPS,Grade 5,5,Maths,73.3
21150216501,Govt Ups Pataka,Athamalik,"BINIKEYEE NHS,LUHASINGA",Grade 8,5,Odia,45.0
21150116101,M.M PATNA PUPS,Anugola,Purunagarh,Grade 5,5,Maths,40.0
21150116201,MATIASAHI PS,Anugola,Purunagarh,Grade 5,3,Maths,66.7
21150605401,GOVT UPS KENDUNALI,Kishore Nagar,GOVT UPS KENDUNALI,Grade 5,8,English,40.0
21150105702,Bantala nodal High school,Anugola,BANTALA,Grade 8,36,Science,55.0
21150518601,GOVT PPHS BARUAN,Kaniha,GOVT PS SAMAL,Grade 8,29,English,65.0
21150403803,"Govt. Upper Primary School, Jambusahi",Chhendipada,GOVT UPS BRAHMANBIL,Grade 8,5,Maths,65.0
21150104001,Balisahi NUPS,Anugola,PNHS Kumurisingha,Grade 5,7,Odia,40.0
21150617703,MAHESWARI GOVT HS NAKCHI,Kishore Nagar,MHS NAKCHI,Grade 8,33,Science,90.0
21150400103,"Govt. Primary School, Bagdia",Chhendipada,MACHHAKUTA UPS,Grade 5,12,EVS,53.3
21150505001,GOVT AS PALASABAHALI,Kaniha,GOVT UPS BALIPASI,Grade 8,25,Science,60.0
21150405901,"Govt. Upper Primary School, Tangirisahi",Chhendipada,DURGAPUR NUPS,Grade 8,24,Science,75.0
21150402802,"Govt. Upper Primary School, Khamar",Chhendipada,KHAMAR NUPS,Grade 8,38,English,45.0
21150108101,Gopalpur Project UP school,Anugola,BANTALA,Grade 5,9,EVS,86.7
21150725901,"LNGHS, SANKHAMUR",Palalahada,"LNGHS, Sankhamur",Grade 8,28,Maths,70.0
21150311301,SAKOSINGHA UPS,Banarpal,Sakosingha UPS,Grade 8,2,SST,40.0
21150309702,"PMSHRI PANCHAYAT NODAL HIGH SCHOOL, MAHIDHARPUR",Banarpal,MAHIDHARPUR HS,Grade 5,23,English,33.3
21150726201,KAMPARKALA A.S,Palalahada,GOVT.UGHS SEEGARH,Grade 5,12,Odia,66.7
21150402802,"Govt. Upper Primary School, Khamar",Chhendipada,KHAMAR NUPS,Grade 8,60,Maths,80.0
21150902201,ANUL GOVT HIGH SCHOOL,Anugola,Amalapada ps,Grade 8,22,Science,50.0
21150221801,Govt. UPS. Jadupur,Athamalik,ODASINGA UPS,Grade 8,20,Odia,45.0
21150806406,Ghantapada NHS,Talachera,Ghantapada NHS,Grade 8,35,English,20.0
21150819102,"N K Vidyapitha ,Southbalanda",Talachera,Gobara NHS,Grade 8,30,Odia,35.0
21150305803,GOVT NHS GOTAMARA,Banarpal,GOTAMARA,Grade 8,2,Science,55.0
21150224001,GOVT.UPS TALABAHALI,Athamalik,GHODABANDHUNI UPS,Grade 8,4,Maths,50.0
21150808601,Chainpal PS,Talachera,"PNHS,PADIABHANGA",Grade 5,4,Odia,60.0
21150303701,GOVT UPS BADAPATANA,Banarpal,GOTAMARA,Grade 5,4,Maths,93.3
21150419002,TUKUDA HIGH SCHOOL,Chhendipada,OGI UGHS,Grade 8,13,Science,35.0
21150901801,GOVT GIRLS HIGH SCHOOL ANGUL,Anugola,Amalapada ps,Grade 8,4,SST,55.0
21150707102,GOVT PS INJIDI,Palalahada,GOVT PS INJIDI,Grade 5,12,Odia,53.3
21150229601,GOVT. UPS SAPAGHARA,Athamalik,RADHAMADHAB GOVT. HIGH SCHOOL PAIKSAHI,Grade 5,6,EVS,33.3
21150107851,"PHS, CHHELIAPADA",Anugola,KHAMAR PS CLUSTER,Grade 8,60,Science,45.0
21150503602,"PANCHAYAT GOVT HS ,BARAPADA",Kaniha,GOVT UPS BALIPASI,Grade 5,1,English,86.7
21150521401,PM SHREE GOVT HS SAMALBARRAGE,Kaniha,GOVT PS SAMAL,Grade 5,2,Odia,86.7
21150604403,"JAGANNATH GOVT HIGH SCHOOL, BILEINALI",Kishore Nagar,JGHS BILEINALI,Grade 8,4,Maths,80.0
21150118103,Pokatunga PS,Anugola,Pokatunga,Grade 5,13,Maths,80.0
21150405101,"Block Colony Govt. Upper Primary School, Chhendipada",Chhendipada,Chhendipada HS,Grade 5,20,EVS,53.3
21150102601,DALABEHERASAHI SS,Anugola,BADAKERA UPS,Grade 5,5,Odia,80.0
21150225401,Govt. PS. Deulbeda,Athamalik,ODASINGA UPS,Grade 5,1,EVS,60.0
21150408201,"Govt. Upper Primary School, Marudhip",Chhendipada,Kanaloi ups,Grade 5,8,English,80.0
21150411101,"Govt. Primary School, Nuamauza",Chhendipada,Kukurpeta,Grade 5,11,Odia,66.7
21150307601,HH GOVT. HS KUKUDANG,Banarpal,HARIHAR GOVT. HS KUKUDANG,Grade 8,52,SST,25.0
21150101501,BADAKANTAKUL GP HS,Anugola,Badakantakul,Grade 8,1,Odia,50.0
21150711002,GOVT PS MANKADACHUA,Palalahada,GOVT.UGHS SEEGARH,Grade 5,5,EVS,60.0
21150800101,BADAJORADA NUPS,Talachera,BADAJORADA NUPS,Grade 5,5,EVS,73.3
21150223903,RADHAMADHAB GOVT. HS,Athamalik,RADHAMADHAB GOVT. HIGH SCHOOL PAIKSAHI,Grade 8,64,Odia,80.0
21150405603,"Govt. Primary School, Bimalbeda",Chhendipada,Chhendipada HS,Grade 5,2,EVS,86.7
21150100201,Khandahata primary school,Anugola,Jhatakipasi,Grade 5,1,Maths,73.3
21150509701,GOVT UPS SIARIA,Kaniha,Saradhapur,Grade 5,8,English,86.7
21150902401,Shyamasundarpur PS,Anugola,Collegepada,Grade 5,18,English,73.3
21150301801,PURIKIA UPS,Banarpal,TULASIPAL CLUSTER,Grade 5,12,English,86.7
21150726401,GOVT UPS KOLIPAL,Palalahada,GOVT.UGHS SEEGARH,Grade 8,4,Maths,70.0
21150303602,GOVT PS BRUNDABANPUR,Banarpal,GOTAMARA,Grade 5,9,Maths,73.3
21150521401,PM SHREE GOVT HS SAMALBARRAGE,Kaniha,GOVT PS SAMAL,Grade 5,22,Odia,86.7
21150208301,Govt U.P.S Kandhapada,Athamalik,KANDHAPADA NUPS,Grade 8,4,Odia,70.0
21150520101,"Govt.UPS,Hatiadanda",Kaniha,HATIADANDA,Grade 8,13,Odia,55.0
21150303103,PBK HS,Banarpal,NUAHATA CLUSTER,Grade 8,40,Maths,80.0
21151001001,RAMESWARPATNA PS,Athamalik,MAHENDRA HIGH SCHOOL ATHAMALLIK,Grade 5,1,Odia,53.3
21150709602,GOVT UPS JHARBEDA,Palalahada,GOVT UPS JHARBEDA,Grade 8,31,SST,60.0
21150807401,BANABASPUR PUPS,Talachera,Kalamachhuin UPS,Grade 8,6,SST,55.0
21150412804,"Govt. Upper Primary School, Ambapal Natada",Chhendipada,Govt UPS PARANGA,Grade 8,62,Maths,65.0
21150203701,Govt. PS BASUDEVPUR,Athamalik,GOVT UPS BAJAPUR,Grade 5,5,EVS,73.3
21150405901,"Govt. Upper Primary School, Tangirisahi",Chhendipada,DURGAPUR NUPS,Grade 5,18,EVS,33.3
21150417301,Raijharan HS,Chhendipada,Kankarei UPS,Grade 8,39,English,90.0
21150112401,Baghamunda PS,Anugola,Tainsi Cluster,Grade 5,5,Maths,93.3
21150901701,PTC NODAL HIGH SCHOOL,Anugola,Amalapada ps,Grade 5,47,Odia,66.7
21150608203,"MAHANADI GOVT HIGH SCHOOL, HANDAPA",Kishore Nagar,Handapa PS,Grade 8,23,English,55.0
21150718203,Town Girls UPS,Palalahada,Town Girls' UPS,Grade 5,7,Maths,100.0
21150606401,GOVT UPS KHANDAHOTA,Kishore Nagar,GOVT UPS DHAURAPALI,Grade 8,5,Odia,60.0
21150501501,GOVT H.S BADATRIBIDA,Kaniha,Govt High school Badatribida,Grade 8,5,Odia,60.0
21150310302,GOVT. UGHS NUAHATA,Banarpal,NUAHATA CLUSTER,Grade 8,61,SST,65.0
